naics_sector,naics_sector_rollup,naics_supersector,naics_sector_name
11,11,,"Agriculture, Forestry, Fishing and Hunting"
21,21,10,"Mining, Quarrying, and Oil and Gas Extraction"
22,22,40,Utilities
23,23,20,Construction
31,31,30,Manufacturing
32,31,30,Manufacturing
33,31,30,Manufacturing
42,42,40,Wholesale Trade
44,44,40,Retail Trade
45,44,40,Retail Trade
48,48,40,Transportation and Warehousing
49,48,40,Transportation and Warehousing
51,51,50,Information
52,52,55,Finance and Insurance
53,53,55,Real Estate and Rental and Leasing
54,54,60,"Professional, Scientific, and Technical Services"
55,55,60,Management of Companies and Enterprises
56,56,60,Administrative and Support and Waste Management and Remediation Services
61,61,65,Educational Services
62,62,65,Health Care and Social Assistance
71,71,70,"Arts, Entertainment, and Recreation"
72,72,70,Accommodation and Food Services
81,81,80,Other Services (except Public Administration)
92,92,90,Public Administration